uri;artist;track
spotify:track:0E9ZjEAyAwOXZ7wJC0PD33;Dynoro;In My Mind
spotify:track:3ee8Jmje8o58CHK66QrVC2;XXXTENTACION;SAD!
spotify:track:3dfCKQy9JY2ixI58zTeUn9;Lo & Leduc;079
spotify:track:63SevszngYpZOwf63o61K4;Dennis Lloyd;Nevermind
spotify:track:7dt6x5M1jzdTEt8oCbisTK;Post Malone;Better Now
spotify:track:0JP9xo3adEtGSdUEISiszL;XXXTENTACION;Moonlight
spotify:track:4UOXo3xWnxYdTf3sFyRaUG;Bonez MC;500 PS
spotify:track:58q2HKrzhC3ozto2nDdN4z;Cardi B;I Like It
spotify:track:7ecGSqT8Ulbzhs5QwgWGVN;Capital Bra;Neymar
spotify:track:25sgk305KZfyuqVBQIahim;Ava Max;Sweet but Psycho
spotify:track:5IaHrVsrferBYDm0bDyABy;Tyga;Taste (feat. Offset)
spotify:track:1rqqCSm0Qe4I9rUvWncaom;Panic! At The Disco;High Hopes
spotify:track:4w8niZpiMy6qz1mntFA5uM;DJ Snake;Taki Taki (with Selena Gomez, Ozuna & Cardi B)
spotify:track:7ef4DlsgrMEH11cDZd32M6;Calvin Harris;One Kiss (with Dua Lipa)
spotify:track:7fa9MBXhVfQ8P8Df9OEbD8;Maroon 5;Girls Like You (feat. Cardi B)
spotify:track:5d35jcJj7WjDQBOHCHPY6t;Capital Bra;Melodien (feat. Juju)
spotify:track:285pBltuF7vW8TeWk8hdRR;Juice WRLD;Lucid Dreams
spotify:track:6DCZcSspjsKoFjzjrWoCdn;Drake;God's Plan
spotify:track:2H4gf1wLxvYreMj1jcaN0k;Dean Lewis;Be Alright
spotify:track:3AXtDUSO78KrGa9Rq8rWUS;Capital Bra;One Night Stand
spotify:track:3NuK5xMlSlB6K2Qp16zf3h;Clean Bandit;Solo (feat. Demi Lovato)
spotify:track:2dpaYNEQHiRxtZbfNsse99;Marshmello;Happier
spotify:track:3KLygy1YWhmrQx0GRs7IOx;Jonas Blue;Rise
spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ;Drake;In My Feelings
spotify:track:1uNzKXVNwq7jwV0rhjXqLB;MERO;Baller los
spotify:track:116H0KvKr2Zl4RPuVBruDO;Bad Bunny;MIA (feat. Drake)
spotify:track:0e7ipj03S05BNilyu5bRzt;Post Malone;rockstar (feat. 21 Savage)
spotify:track:39N9RPD9MRb5WmoLzNzPeA;Nicky Jam;X
spotify:track:7K7MUBCnzgBAvMVW2RTWNs;Loud Luxury;Body (feat. brando)
spotify:track:7ycWLEP1GsNjVvcjawXz3z;A$AP Rocky;Praise The Lord (Da Shine) (feat. Skepta)
spotify:track:7AFASza1mXqntmGtbxXprO;XXXTENTACION;changes
