uri;artist;track
spotify:track:3dfCKQy9JY2ixI58zTeUn9;Lo & Leduc;079
spotify:track:0E9ZjEAyAwOXZ7wJC0PD33;Dynoro;In My Mind
spotify:track:2VxeLyX666F8uXCJ0dZF8B;Lady Gaga;Shallow
spotify:track:63SevszngYpZOwf63o61K4;Dennis Lloyd;Nevermind
spotify:track:7ef4DlsgrMEH11cDZd32M6;Calvin Harris;One Kiss (with Dua Lipa)
spotify:track:66BjcDhhwWCcQIBxHMpKXh;David Guetta;Flames
spotify:track:3NuK5xMlSlB6K2Qp16zf3h;Clean Bandit;Solo (feat. Demi Lovato)
spotify:track:7fa9MBXhVfQ8P8Df9OEbD8;Maroon 5;Girls Like You (feat. Cardi B)
spotify:track:25sgk305KZfyuqVBQIahim;Ava Max;Sweet but Psycho
spotify:track:7qiZfU4dY1lWllzX7mPBI3;Ed Sheeran;Shape of You
spotify:track:2H4gf1wLxvYreMj1jcaN0k;Dean Lewis;Be Alright
spotify:track:5N5k9nd479b1xpDZ4usjrg;Calvin Harris;Promises (with Sam Smith)
spotify:track:2dpaYNEQHiRxtZbfNsse99;Marshmello;Happier
spotify:track:7K7MUBCnzgBAvMVW2RTWNs;Loud Luxury;Body (feat. brando)
spotify:track:0tgVpDi06FyKpA1z0VMD4v;Ed Sheeran;Perfect
spotify:track:1rqqCSm0Qe4I9rUvWncaom;Panic! At The Disco;High Hopes
spotify:track:3KLygy1YWhmrQx0GRs7IOx;Jonas Blue;Rise
spotify:track:20ZP3Om9DvDazXrNUC7WM2;Rudimental;These Days (feat. Jess Glynne, Macklemore & Dan Caplen)
spotify:track:4w8niZpiMy6qz1mntFA5uM;DJ Snake;Taki Taki (with Selena Gomez, Ozuna & Cardi B)
spotify:track:1BFmBgVOnLy3Ekrxz1lBOK;Alvaro Soler;La Cintura
spotify:track:58q2HKrzhC3ozto2nDdN4z;Cardi B;I Like It
spotify:track:08bNPGLD8AhKpnnERrAc6G;Marshmello;FRIENDS
spotify:track:4ofwffwvvnbSkrMSCKQDaC;George Ezra;Shotgun
spotify:track:7dt6x5M1jzdTEt8oCbisTK;Post Malone;Better Now
spotify:track:1rfofaqEpACxVEHIZBJe6W;Camila Cabello;Havana
